DateTime,Buyopen,Buyhigh,Buylow,Buyclose
2016-12-27 09:50:00,1.04504,1.04515,1.04486,1.04486
2016-12-27 09:55:00,1.04488,1.04519,1.04488,1.04518
2016-12-27 10:00:00,1.04516,1.04536,1.04505,1.04508
2016-12-27 10:05:00,1.04508,1.04547,1.04492,1.04546
2016-12-27 10:10:00,1.04544,1.04545,1.04524,1.04539
2016-12-27 10:15:00,1.0454,1.04545,1.04502,1.0453
2016-12-27 10:20:00,1.04531,1.04546,1.04517,1.04544
2016-12-27 10:25:00,1.04543,1.04566,1.04529,1.04559
2016-12-27 10:30:00,1.04554,1.04598,1.04528,1.04575
2016-12-27 10:35:00,1.04574,1.04576,1.04544,1.0455
2016-12-27 10:40:00,1.04547,1.04599,1.04544,1.04592
2016-12-27 10:45:00,1.04591,1.04595,1.04556,1.04567
2016-12-27 10:50:00,1.04569,1.04579,1.0455,1.04551
2016-12-27 10:55:00,1.0455,1.04584,1.04537,1.04572
2016-12-27 11:00:00,1.04573,1.04592,1.04549,1.04587
2016-12-27 11:05:00,1.04584,1.046,1.04567,1.04589
2016-12-27 11:10:00,1.04587,1.04594,1.04577,1.04583
2016-12-27 11:15:00,1.04582,1.04631,1.04582,1.04622
2016-12-27 11:20:00,1.04624,1.04629,1.04608,1.04623
2016-12-27 11:25:00,1.04621,1.04627,1.04598,1.04613
2016-12-27 11:30:00,1.04614,1.04619,1.04612,1.04617
2016-12-27 11:35:00,1.04615,1.04619,1.04599,1.046
2016-12-27 11:40:00,1.04599,1.04603,1.04587,1.04597
2016-12-27 11:45:00,1.04597,1.04597,1.04582,1.04582
2016-12-27 11:50:00,1.04584,1.04584,1.04571,1.04571
2016-12-27 11:55:00,1.0457,1.04576,1.04565,1.04569
2016-12-27 12:00:00,1.04569,1.04576,1.04566,1.04569
2016-12-27 12:05:00,1.0457,1.04583,1.0457,1.04582
2016-12-27 12:10:00,1.04583,1.04586,1.04564,1.04566
2016-12-27 12:15:00,1.04568,1.04578,1.04562,1.04573
2016-12-27 12:20:00,1.04572,1.04579,1.04566,1.04578
2016-12-27 12:25:00,1.04579,1.04579,1.04558,1.04573
2016-12-27 12:30:00,1.04575,1.04586,1.04569,1.04569
2016-12-27 12:35:00,1.04574,1.04575,1.0455,1.04558
2016-12-27 12:40:00,1.04557,1.04565,1.04556,1.04561
2016-12-27 12:45:00,1.04562,1.04565,1.04548,1.04553
2016-12-27 12:50:00,1.04552,1.04553,1.04538,1.0454
2016-12-27 12:55:00,1.04542,1.0456,1.0453,1.0456
2016-12-27 13:00:00,1.04561,1.04565,1.04528,1.04538
2016-12-27 13:05:00,1.04537,1.04541,1.04521,1.04541
2016-12-27 13:10:00,1.0454,1.04542,1.0451,1.04522
2016-12-27 13:15:00,1.04521,1.04536,1.04521,1.04526
2016-12-27 13:20:00,1.04527,1.04531,1.04519,1.04521
2016-12-27 13:25:00,1.04521,1.04541,1.04513,1.04526
2016-12-27 13:30:00,1.04532,1.04563,1.04527,1.04547
2016-12-27 13:35:00,1.04546,1.04551,1.04521,1.04521
2016-12-27 13:40:00,1.04525,1.04537,1.04518,1.04519
2016-12-27 13:45:00,1.0452,1.04524,1.04512,1.04521
2016-12-27 13:50:00,1.04522,1.04529,1.04519,1.04524
2016-12-27 13:55:00,1.04525,1.04526,1.0452,1.0452
2016-12-27 14:00:00,1.04523,1.04525,1.04519,1.04519
2016-12-27 14:05:00,1.04521,1.04532,1.04519,1.04531
2016-12-27 14:10:00,1.0453,1.04547,1.04529,1.04541
2016-12-27 14:15:00,1.04542,1.04571,1.04527,1.04568
2016-12-27 14:20:00,1.04566,1.0457,1.0456,1.04569
2016-12-27 14:25:00,1.04567,1.04568,1.04551,1.04557
2016-12-27 14:30:00,1.04557,1.04559,1.04547,1.04548
2016-12-27 14:35:00,1.04547,1.04554,1.04546,1.0455
2016-12-27 14:40:00,1.04549,1.04563,1.04545,1.04549
2016-12-27 14:45:00,1.04548,1.04572,1.04547,1.04549
2016-12-27 14:50:00,1.04549,1.04569,1.04541,1.04567
2016-12-27 14:55:00,1.04569,1.04583,1.0456,1.04566
2016-12-27 15:00:00,1.04568,1.04583,1.04557,1.04564
2016-12-27 15:05:00,1.04566,1.04573,1.04552,1.04573
2016-12-27 15:10:00,1.04571,1.04573,1.04552,1.04557
2016-12-27 15:15:00,1.04558,1.0457,1.04541,1.04546
2016-12-27 15:20:00,1.04547,1.04568,1.0454,1.04564
2016-12-27 15:25:00,1.04561,1.04563,1.04547,1.04553
2016-12-27 15:30:00,1.04552,1.0456,1.04543,1.04548
2016-12-27 15:35:00,1.0455,1.04554,1.04541,1.04541
2016-12-27 15:40:00,1.04543,1.04575,1.04543,1.04574
2016-12-27 15:45:00,1.04576,1.0458,1.04571,1.04579
2016-12-27 15:50:00,1.04577,1.04579,1.04554,1.04558
2016-12-27 15:55:00,1.0456,1.0456,1.04545,1.04553
2016-12-27 16:00:00,1.04552,1.04555,1.04548,1.04553
2016-12-27 16:05:00,1.04553,1.04574,1.04553,1.04573
2016-12-27 16:10:00,1.04575,1.04581,1.04568,1.0457
2016-12-27 16:15:00,1.04569,1.04576,1.04569,1.04575
2016-12-27 16:20:00,1.04573,1.04576,1.04562,1.04562
2016-12-27 16:25:00,1.04565,1.04566,1.04553,1.04563
2016-12-27 16:30:00,1.04562,1.04571,1.04562,1.04567
2016-12-27 16:35:00,1.04569,1.04577,1.04567,1.04572
2016-12-27 16:40:00,1.04572,1.04572,1.0457,1.04572
2016-12-27 16:45:00,1.0457,1.04577,1.04568,1.04572
2016-12-27 16:50:00,1.04574,1.04575,1.0457,1.0457
2016-12-27 16:55:00,1.04571,1.04579,1.04545,1.04553
2016-12-27 17:00:00,1.04541,1.04553,1.04541,1.04546
2016-12-27 17:05:00,1.04546,1.04556,1.04543,1.04556
2016-12-27 17:10:00,1.04555,1.0457,1.04533,1.04561
2016-12-27 17:15:00,1.04561,1.04569,1.04561,1.04561
2016-12-27 17:20:00,1.04561,1.04568,1.04558,1.04562
2016-12-27 17:25:00,1.04562,1.04586,1.04561,1.04578
